Filename,Title & Tags,Upload Date,Channel Name,View Count,YouTube Link,File Type,File Size,Image Width,Image Height,Encoding Process,Bits Per Sample,Color Components,Y Cb Cr Sub Sampling,Megapixels,X Resolution,Y Resolution,Resolution Unit,JFIF Version
freddy_fnaf_animation_horror_01.png,"5 AM at Freddy’s: The Prequel
Freddy, FNAF, animation, game",2014/8/18,The Living Tombstone,89.13 million,https://www.youtube.com/watch?v=v2IqiOWbDsE,png,746 KiB,1709,1083,Deflate/Inflate,8,RGB,N/A,1.9,3780,3780,meters,N/A
pokemon_3d_dragon_anime_commentary_02.png,"Computer Warrior 3D Dragon (Pokémon) 
— anime commentary",2017/8/18,BaoKeMeng QianQian,"1,234,567",https://www.youtube.com/watch?v=JVFWoqzoqtA,image/png,900 KiB,1290,1134,Deflate/Inflate,8,RGB,N/A,1.5,3780,3780,meters,N/A
shinchan_new_episode_english_subtitles_03.png,Shinchan New Episode With English subtitles,2021/5/7,Crayon Shinchan Official,"3,456,789",https://www.youtube.com/watch?v=RtrHvPzMkYY,image/png,851 KiB,1721,1086,Deflate/Inflate,8,RGB,N/A,1.9,3780,3780,meters,N/A
rickMorty_vindicators_compilation_04.png,"The Vindicators (Compilation) | Rick and Morty | adult swim
Rick and Morty, Vindicators, animation, compilation, adult swim",15-Jan-19,adult swim,"2,345,678",https://www.youtube.com/watch?v=jzV4RdrIfvY,image/png,1304 KiB,1722,1083,Deflate/Inflate,8,RGB,N/A,1.9,3780,3780,meters,N/A
pokemon_evolution_animated_explained_05.png,"Pokémon Evolution Explanations Animation
Pokemon, evolution, Pikachu, animated explanation, anime",12-Mar-19,Pokemon Kids TV,"4,567,890",https://www.youtube.com/watch?v=RY1P2z-q_Dk,image/png,563 KiB,1713,1100,Deflate/Inflate,8,RGB,N/A,1.9,3780,3780,meters,N/A
tomAndJerry_megaCompilation_vol7_06.png,"Tom and Jerry | Mega Compilation | Vol. 7 | Warner Classics
Tom and Jerry, mega compilation, Vol. 7, classic cartoon, Warner Classics",5-Jan-21,Warner Classics,"12,345,678",https://www.youtube.com/watch?v=_GE6zf_hH48,image/png,656 KiB,1731,1095,Deflate/Inflate,8,RGB,N/A,1.9,3780,3780,meters,N/A
peppaPig_holidayAdventure_fullEpisodes_07.png,"[Peppa's Holiday Adventure | Peppa Pig Full Episodes]
Peppa Pig, holiday adventure, full episodes, kids cartoon, English subtitles",12-Jan-23,Peppa Pig - Official Channel,6.06M views,https://youtu.be/RM4MU1WjglI,image/png,637 KiB,1698,951,Deflate/Inflate,8,RGB,N/A,1.6,3780,3780,meters,N/A
snoopy_beagleScout_snoopyShow_appleTV_08.png,How to Be a Beagle Scout | The Snoopy Show | Peanuts | Now Streaming on Apple TV+,2024/5/31,Snoopy,1.92M views,https://youtu.be/7Az8BQYzUDo,image/png,938 KiB,1707,1134,Deflate/Inflate,8,RGB,N/A,1.9,3780,3780,meters,N/A
littleFox_peterRabbit_benjaminBunny_bedtimeStories_09.png,"Tale of Peter Rabbit & Benjamin Bunny Full Story | 23 min. | Bedtime Stories | Little Fox
Little Fox, kids stories, bedtime stories, Peter Rabbit, Benjamin Bunny, Beatrix Potter",2023/7/28,Little Fox - Kids Stories and Songs,"18,032,123 views",https://youtu.be/ZB4lOVRMt5I,image/png,206 KiB,1743,1128,Deflate/Inflate,8,RGB,N/A,2,3780,3780,meters,N/A
weBareBears_assemblyRequired_fullEpisode_cartoonNetwork_10.png,"Assembly Required | FULL EPISODE | We Bare Bears | Cartoon Network
We Bare Bears, full episode, Cartoon Network, Assembly Required, animation",2025/3/23,We Bare Bears,"110,415 views",https://youtu.be/VwE6RXrhi_o,image/png,1506 KiB,1728,1085,Deflate/Inflate,8,RGB,N/A,1.9,3780,3780,meters,N/A
